url,beds,city,date,size,type,baths,price,neighborhood,price_per_sqft,full_address,latitude,longitude
https://www.99acres.com/residential-land-plot-for-sale-in-rwa-sector-122-sector-122-noida-538-sq-yard-spid-C79242955,0,Noida,Yesterday,4843.0,Residential Land,0,90000000.0,Sector 122,18583.52260995251,"Sector 122, Noida",28.5929062,77.3975661
https://www.99acres.com/residential-land-plot-for-sale-in-od-kedeswar-vihar-phulnakhara-bhubaneswar-133-sq-yard-to-222-sq-yard-npspid-S78806221,0,Bhubaneswar,19-02-2025,,Residential land / Plot,0,1559000.0,Phulnakhara,,"Phulnakhara, Bhubaneswar",,
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shuvam-meadows-patia-bhubaneswar-2179-sq-ft-spid-V79818033,3,Bhubaneswar,19-02-2025,2179.0,3 BHK Flat,3,18000000.0,Patia,8260.670032124828,"Patia, Bhubaneswar",20.3604502,85.8247661
https://www.99acres.com/mahima-greenex-hanspal-bhubaneswar-npxid-r413530,2,Bhubaneswar,19-02-2025,860.0,"2, 3 BHK Apartment",0,7900000.0,Hanspal,9186.046511627907,"Hanspal, Bhubaneswar",,
https://www.99acres.com/one-world-janla-bhubaneswar-npxid-r424559,2,Bhubaneswar,19-02-2025,1400.0,"2, 3 BHK Apartment",0,8938000.0,Janla,6384.285714285715,"Janla, Bhubaneswar",,
https://www.99acres.com/urban-sereno-gothapatna-bhubaneswar-npxid-r420678,2,Bhubaneswar,19-02-2025,2120.0,"2, 3 BHK Apartment",0,8286000.0,Gothapatna,3908.490566037736,"Gothapatna, Bhubaneswar",,
https://www.99acres.com/falcon-tatva-khandagiri-bhubaneswar-npxid-r411558,3,Bhubaneswar,19-02-2025,1802.0,"3, 4 BHK Apartment",0,20600000.0,Khandagiri,11431.742508324085,"Khandagiri, Bhubaneswar",20.2661224,85.7832241
https://www.99acres.com/motwani-anantara-jharapada-bhubaneswar-npxid-r421539,3,Bhubaneswar,19-02-2025,2630.0,"3, 4 BHK Apartment",0,14700000.0,Jharapada,5589.3536121673005,"Jharapada, Bhubaneswar",,
https://www.99acres.com/z-padmanabha-pahala-bhubaneswar-npxid-r413474,2,Bhubaneswar,19-02-2025,2000.0,"2, 3, 4, 5 BHK Apartment",0,11800000.0,Pahala,5900.0,"Pahala, Bhubaneswar",,
https://www.99acres.com/utkal-reserve-patrapada-bhubaneswar-npxid-r390078,2,Bhubaneswar,19-02-2025,2460.0,"2, 3, 4, 5 BHK Apartment",0,14000000.0,Patrapada,5691.056910569106,"Patrapada, Bhubaneswar",,
https://www.99acres.com/utkal-isquare-patia-bhubaneswar-npxid-r424292,2,Bhubaneswar,19-02-2025,855.0,"2, 3 BHK Apartment",0,7200000.0,Patia,8421.052631578947,"Patia, Bhubaneswar",20.3604502,85.8247661
